ID,Age Group,Race and Hispanic Origin Group
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,1,2
17,2,2
18,3,2
19,4,2
20,5,2
21,6,2
22,7,2
23,8,2
24,9,2
25,10,2
26,11,2
27,12,2
28,13,2
29,14,2
30,15,2
31,1,3
32,2,3
33,3,3
34,4,3
35,5,3
36,6,3
37,7,3
38,8,3
39,9,3
40,10,3
41,11,3
42,12,3
43,13,3
44,14,3
45,15,3
46,1,4
47,2,4
48,3,4
49,4,4
50,5,4
51,6,4
52,7,4
53,8,4
54,9,4
55,10,4
56,11,4
57,12,4
58,13,4
59,14,4
60,15,4
61,1,5
62,2,5
63,3,5
64,4,5
65,5,5
66,6,5
67,7,5
68,8,5
69,9,5
70,10,5
71,11,5
72,12,5
73,13,5
74,14,5
75,15,5
76,1,6
77,2,6
78,3,6
79,4,6
80,5,6
81,6,6
82,7,6
83,8,6
84,9,6
85,10,6
86,11,6
87,12,6
88,13,6
89,14,6
90,15,6
91,1,7
92,2,7
93,3,7
94,4,7
95,5,7
96,6,7
97,7,7
98,8,7
99,9,7
100,10,7
101,11,7
102,12,7
103,13,7
104,14,7
105,15,7
106,1,8
107,2,8
108,3,8
109,4,8
110,5,8
111,6,8
112,7,8
113,8,8
114,9,8
115,10,8
116,11,8
117,12,8
118,13,8
119,14,8
120,15,8
121,1,1
122,2,1
123,3,1
124,4,1
125,5,1
126,6,1
127,7,1
128,8,1
129,9,1
130,10,1
131,11,1
132,12,1
133,13,1
134,14,1
135,15,1
136,1,2
137,2,2
138,3,2
139,4,2
140,5,2
141,6,2
142,7,2
143,8,2
144,9,2
145,10,2
146,11,2
147,12,2
148,13,2
149,14,2
150,15,2
151,1,3
152,2,3
153,3,3
154,4,3
155,5,3
156,6,3
157,7,3
158,8,3
159,9,3
160,10,3
161,11,3
162,12,3
163,13,3
164,14,3
165,15,3
166,1,4
167,2,4
168,3,4
169,4,4
170,5,4
171,6,4
172,7,4
173,8,4
174,9,4
175,10,4
176,11,4
177,12,4
178,13,4
179,14,4
180,15,4
181,1,5
182,2,5
183,3,5
184,4,5
185,5,5
186,6,5
187,7,5
188,8,5
189,9,5
190,10,5
191,11,5
192,12,5
193,13,5
194,14,5
195,15,5
196,1,6
197,2,6
198,3,6
199,4,6
200,5,6
201,6,6
202,7,6
203,8,6
204,9,6
205,10,6
206,11,6
207,12,6
208,13,6
209,14,6
210,15,6
211,1,7
212,2,7
213,3,7
214,4,7
215,5,7
216,6,7
217,7,7
218,8,7
219,9,7
220,10,7
221,11,7
222,12,7
223,13,7
224,14,7
225,15,7
226,1,8
227,2,8
228,3,8
229,4,8
230,5,8
231,6,8
232,7,8
233,8,8
234,9,8
235,10,8
236,11,8
237,12,8
238,13,8
239,14,8
240,15,8
241,1,1
242,2,1
243,3,1
244,4,1
245,5,1
246,6,1
247,7,1
248,8,1
249,9,1
250,10,1
251,11,1
252,12,1
253,13,1
254,14,1
255,15,1
256,1,2
257,2,2
258,3,2
259,4,2
260,5,2
261,6,2
262,7,2
263,8,2
264,9,2
265,10,2
266,11,2
267,12,2
268,13,2
269,14,2
270,15,2
271,1,3
272,2,3
273,3,3
274,4,3
275,5,3
276,6,3
277,7,3
278,8,3
279,9,3
280,10,3
281,11,3
282,12,3
283,13,3
284,14,3
285,15,3
286,1,4
287,2,4
288,3,4
289,4,4
290,5,4
291,6,4
292,7,4
293,8,4
294,9,4
295,10,4
296,11,4
297,12,4
298,13,4
299,14,4
300,15,4
301,1,5
302,2,5
303,3,5
304,4,5
305,5,5
306,6,5
307,7,5
308,8,5
309,9,5
310,10,5
311,11,5
312,12,5
313,13,5
314,14,5
315,15,5
316,1,6
317,2,6
318,3,6
319,4,6
320,5,6
321,6,6
322,7,6
323,8,6
324,9,6
325,10,6
326,11,6
327,12,6
328,13,6
329,14,6
330,15,6
331,1,7
332,2,7
333,3,7
334,4,7
335,5,7
336,6,7
337,7,7
338,8,7
339,9,7
340,10,7
341,11,7
342,12,7
343,13,7
344,14,7
345,15,7
346,1,8
347,2,8
348,3,8
349,4,8
350,5,8
351,6,8
352,7,8
353,8,8
354,9,8
355,10,8
356,11,8
357,12,8
358,13,8
359,14,8
360,15,8
361,1,1
362,2,1
363,3,1
364,4,1
365,5,1
366,6,1
367,7,1
368,8,1
369,9,1
370,10,1
371,11,1
372,12,1
373,13,1
374,14,1
375,15,1
376,1,2
377,2,2
378,3,2
379,4,2
380,5,2
381,6,2
382,7,2
383,8,2
384,9,2
385,10,2
386,11,2
387,12,2
388,13,2
389,14,2
390,15,2
391,1,3
392,2,3
393,3,3
394,4,3
395,5,3
396,6,3
397,7,3
398,8,3
399,9,3
400,10,3
401,11,3
