State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MD,Maryland,11/01/2020,Y,P,Y,3631,,89669,Includes Renewals and/or Redeterminations,93300,Includes Renewals and/or Redeterminations,35138,Includes Renewals and/or Redeterminations,1796,Includes Renewals and/or Redeterminations,36934,Includes Renewals and/or Redeterminations,653614,,1437344,,42.2373,-71.5314,"(42.2373, -71.5314)",1293747,,143597,
CA,California,11/01/2020,Y,P,Y,167587,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,167587,,151125,Does Not Include All Medicaid Determinations Made At Application,8802,Does Not Include All CHIP Determinations Made At Application,159927,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4949938,,12313086,,33.7712,-111.3877,"(33.7712, -111.3877)",11021968,,1291118,
RI,Rhode Island,11/01/2020,Y,P,Y,1593,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1593,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2218,,120,,2338,,120934,,320927,,44.5672,-122.1269,"(44.5672, -122.1269)",289993,,30934,
GA,Georgia,11/01/2020,N,P,Y,34440,,N/A,,34440,,12767,,2812,,15579,,1429441,,2045920,,27.8333,-81.717,"(27.8333, -81.717)",1809982,,235938,
LA,Louisiana,11/01/2020,Y,P,Y,17950,,N/A,,17950,,20102,,1260,,21362,,756347,,1684227,,37.669,-84.6514,"(37.669, -84.6514)",1547901,,136326,
MT,Montana,11/01/2020,Y,P,Y,2798,,N/A,,2798,,2235,,199,,2434,,120204,,269746,,14.8058,145.5505,"(14.8058, 145.5505)",242811,,26935,
NC,North Carolina,11/01/2020,N,P,Y,26371,,N/A,,26371,,26965,,2492,,29457,,1259602,,1962537,,32.7673,-89.6812,"(32.7673, -89.6812)",1673017,,289520,
FL,Florida,11/01/2020,N,P,Y,242132,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,242132,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,125281,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,11381,,136662,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2655697,,4076951,,39.3498,-75.5148,"(39.3498, -75.5148)",3887091,,189860,
VA,Virginia,11/01/2020,Y,P,Y,18453,Includes Renewals and/or Redeterminations,N/A,,18453,Includes Renewals and/or Redeterminations,22923,Includes Renewals and/or Redeterminations,829,Includes Renewals and/or Redeterminations,23752,Includes Renewals and/or Redeterminations,813559,,1602219,,35.7449,-86.7489,"(35.7449, -86.7489)",1442259,,159960,
NV,Nevada,11/01/2020,Y,P,Y,19069,Includes Renewals and/or Redeterminations,N/A,,19069,Includes Renewals and/or Redeterminations,7293,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",24,,7317,,330174,,742656,,40.314,-74.5089,"(40.314, -74.5089)",703495,,39161,
